IMIĘ_DRUGIE,PŁEĆ,LICZBA_WYSTĄPIEŃ,PRAWDOPODOBIEŃSTWO_WYSTĄPIENIA
KAJA,KOBIETA,3248,0.00027906352535762103
OTYLIA,KOBIETA,3230,0.0002775169910422155
JÓZEFINA,KOBIETA,3181,0.00027330698096138934
MARZANNA,KOBIETA,3117,0.0002678081922843918
SONIA,KOBIETA,3084,0.00026497287937281505
ZENONA,KOBIETA,3079,0.0002645432865074246
RYSZARDA,KOBIETA,3061,0.00026299675219201905
FELIKSA,KOBIETA,2994,0.00025724020779578736
JOWITA,KOBIETA,2970,0.0002551781620419133
MARIE,KOBIETA,2811,0.00024151710892249774
BERNARDA,KOBIETA,2743,0.00023567464595318795
ROMUALDA,KOBIETA,2660,0.00022854340438770688
TAMARA,KOBIETA,2636,0.00022648135863383284
LUDMIŁA,KOBIETA,2543,0.0002184909313375709
OLIMPIA,KOBIETA,2538,0.00021806133847218046
MARIKA,KOBIETA,2512,0.00021582745557215024
TEODORA,KOBIETA,2449,0.00021041458546823088
ARLETA,KOBIETA,2424,0.00020826662114127874
MELANIA,KOBIETA,2412,0.00020723559826434172
ALBINA,KOBIETA,2410,0.00020706376111818555
KALINA,KOBIETA,2377,0.00020422844820660875
SŁAWOMIRA,KOBIETA,2345,0.00020147905386811002
NATASZA,KOBIETA,2323,0.00019958884526039214
TATIANA,KOBIETA,2268,0.00019486332374109744
ELIZABETH,KOBIETA,2229,0.0001915124993910521
ZENOBIA,KOBIETA,2109,0.00018120227062168187
INGA,KOBIETA,2102,0.0001806008406101353
AMANDA,KOBIETA,2007,0.00017243857616771718
ERYKA,KOBIETA,1996,0.00017149347186385823
HILDEGARDA,KOBIETA,1989,0.00017089204185231164
IRMINA,KOBIETA,1988,0.00017080612327923355
DONATA,KOBIETA,1985,0.0001705483675599993
ZYTA,KOBIETA,1960,0.00016840040323304716
SALOMEA,KOBIETA,1909,0.00016401855600606483
OLIVIA,KOBIETA,1888,0.00016221426597142502
BALBINA,KOBIETA,1876,0.000161183243094488
NICOLE,KOBIETA,1800,0.00015465343154055352
TEODOZJA,KOBIETA,1775,0.0001525054672136014
MIA,KOBIETA,1743,0.00014975607287510267
ALEXANDRA,KOBIETA,1703,0.00014631932995197924
ADELAJDA,KOBIETA,1683,0.00014460095849041753
BOLESŁAWA,KOBIETA,1646,0.0001414219712865284
EMMA,KOBIETA,1633,0.00014030502983651327
IDA,KOBIETA,1632,0.0001402191112634352
GIZELA,KOBIETA,1624,0.00013953176267881052
LEONARDA,KOBIETA,1597,0.0001372119612057022
MARZENNA,KOBIETA,1588,0.00013643869404799945
ADA,KOBIETA,1574,0.00013523583402490626
FLORENTYNA,KOBIETA,1564,0.0001343766482941254
EDWARDA,KOBIETA,1564,0.0001343766482941254
MARCELA,KOBIETA,1557,0.0001337752182825788
MARYLA,KOBIETA,1550,0.0001331737882710322
LONGINA,KOBIETA,1530,0.0001314554168094705
VANESSA,KOBIETA,1524,0.000130939905371002
OKTAWIA,KOBIETA,1499,0.00012879194104404985
JESSICA,KOBIETA,1492,0.00012819051103250327
LIWIA,KOBIETA,1453,0.00012483968668245793
TEKLA,KOBIETA,1444,0.00012406641952475517
ROSE,KOBIETA,1402,0.00012045783945547558
BOGNA,KOBIETA,1385,0.00011899722371314813
SOFIA,KOBIETA,1383,0.00011882538656699196
LUCJA,KOBIETA,1376,0.00011822395655544536
KLEMENTYNA,KOBIETA,1374,0.00011805211940928919
TEOFILA,KOBIETA,1373,0.00011796620083621111
KRZYSZTOFA,KOBIETA,1319,0.0001133265978899945
NICOLA,KOBIETA,1318,0.00011324067931691642
ELENA,KOBIETA,1294,0.00011117863356304236
LILIA,KOBIETA,1281,0.00011006169211302725
SOPHIE,KOBIETA,1261,0.00010834332065146555
LILLA,KOBIETA,1250,0.00010739821634760661
BIANKA,KOBIETA,1170,0.00010052473050135979
KUNEGUNDA,KOBIETA,1164,0.00010000921906289128
KAMILLA,KOBIETA,1157,9.940778905134468e-05
MARCJANNA,KOBIETA,1141,9.803309188209532e-05
ROMA,KOBIETA,1140,9.794717330901723e-05
SAMANTA,KOBIETA,1118,9.605696470129936e-05
ANETTA,KOBIETA,1112,9.554145326283085e-05
EVA,KOBIETA,1103,9.476818610512808e-05
NELA,KOBIETA,1085,9.322165178972254e-05
LILA,KOBIETA,1071,9.201879176662935e-05
ANN,KOBIETA,1055,9.064409459737999e-05
NADZIEJA,KOBIETA,1052,9.038633887814573e-05
MIRELA,KOBIETA,1039,8.926939742813062e-05
KSENIA,KOBIETA,992,8.52312244934606e-05
ELFRYDA,KOBIETA,949,8.153672585110294e-05
VIKTORIA,KOBIETA,941,8.084937726647826e-05
LEA,KOBIETA,929,7.981835438954123e-05
ANGELINA,KOBIETA,926,7.956059867030698e-05
IZA,KOBIETA,922,7.921692437799464e-05
SEWERYNA,KOBIETA,902,7.749855291643293e-05
MIRIAM,KOBIETA,898,7.715487862412059e-05
GAJA,KOBIETA,897,7.70689600510425e-05
SOPHIA,KOBIETA,875,7.517875144332463e-05
NOEMI,KOBIETA,864,7.423364713946569e-05
STELLA,KOBIETA,833,7.157017137404505e-05
INEZ,KOBIETA,831,7.139833422788888e-05
ELISABETH,KOBIETA,821,7.053914849710803e-05
MANUELA,KOBIETA,806,6.925036990093675e-05
PAMELA,KOBIETA,802,6.89066956086244e-05
ANDREA,KOBIETA,798,6.856302131631207e-05
MICHELLE,KOBIETA,794,6.821934702399972e-05
BENEDYKTA,KOBIETA,786,6.753199843937504e-05
GRACE,KOBIETA,784,6.736016129321887e-05
DOBROSŁAWA,KOBIETA,763,6.555587125857908e-05
AUGUSTYNA,KOBIETA,761,6.538403411242291e-05
PETRONELA,KOBIETA,753,6.469668552779823e-05
AMALIA,KOBIETA,752,6.461076695472014e-05
BERNARDYNA,KOBIETA,751,6.452484838164206e-05
ANNE,KOBIETA,750,6.443892980856397e-05
ANGELA,KOBIETA,748,6.42670926624078e-05
FILOMENA,KOBIETA,740,6.357974407778312e-05
GLORIA,KOBIETA,721,6.19472911892995e-05
BERTA,KOBIETA,702,6.0314838300815875e-05
EULALIA,KOBIETA,701,6.022891972773779e-05
EMANUELA,KOBIETA,674,5.790911825462949e-05
WIRGINIA,KOBIETA,670,5.756544396231715e-05
BERENIKA,KOBIETA,656,5.6362583939223954e-05
INES,KOBIETA,650,5.584707250075544e-05
WANESSA,KOBIETA,649,5.576115392767736e-05
GRETA,KOBIETA,644,5.5331561062286924e-05
SŁAWA,KOBIETA,635,5.455829390458416e-05
MALINA,KOBIETA,634,5.447237533150607e-05
MAYA,KOBIETA,633,5.4386456758427986e-05
CELESTYNA,KOBIETA,631,5.4214619612271816e-05
ISABELLA,KOBIETA,627,5.3870945319959475e-05
PATRICIA,KOBIETA,625,5.3699108173803304e-05
LOUISE,KOBIETA,609,5.232441100455394e-05
OLA,KOBIETA,605,5.19807367122416e-05
JANE,KOBIETA,599,5.146522527377309e-05
JAŚMINA,KOBIETA,598,5.1379306700695e-05
MARY,KOBIETA,595,5.112155098146075e-05
RUTA,KOBIETA,594,5.103563240838266e-05
VERONICA,KOBIETA,557,4.785664520449351e-05
MIRELLA,KOBIETA,556,4.777072663141542e-05
HIACYNTA,KOBIETA,553,4.751297091218117e-05
LIGIA,KOBIETA,549,4.7169296619868826e-05
SARAH,KOBIETA,545,4.6825622327556485e-05
JAROSŁAWA,KOBIETA,541,4.6481948035244144e-05
ANTONIA,KOBIETA,532,4.570868087754138e-05
CLAUDIA,KOBIETA,532,4.570868087754138e-05
MARGARET,KOBIETA,523,4.493541371983861e-05
EMILY,KOBIETA,516,4.433398370829201e-05
GABRYELA,KOBIETA,507,4.3560716550589246e-05
ISABEL,KOBIETA,506,4.347479797751116e-05
AURORA,KOBIETA,499,4.287336796596456e-05
KLAUDYNA,KOBIETA,497,4.2701530819808387e-05
LARYSA,KOBIETA,494,4.244377510057413e-05
MIRA,KOBIETA,483,4.149867079671519e-05
LEONTYNA,KOBIETA,483,4.149867079671519e-05
GERDA,KOBIETA,481,4.132683365055902e-05
DOMICELA,KOBIETA,481,4.132683365055902e-05
ERNA,KOBIETA,474,4.0725403639012426e-05
BERNARDETA,KOBIETA,470,4.0381729346700085e-05
CHRISTINA,KOBIETA,463,3.978029933515349e-05
MERCEDES,KOBIETA,463,3.978029933515349e-05
CHRISTINE,KOBIETA,462,3.96943807620754e-05
LINDA,KOBIETA,461,3.960846218899732e-05
MARIETTA,KOBIETA,455,3.9092950750528806e-05
CRISTINA,KOBIETA,452,3.883519503129455e-05
SYLWESTRA,KOBIETA,452,3.883519503129455e-05
GRACJANA,KOBIETA,437,3.754641643512327e-05
CARMEN,KOBIETA,437,3.754641643512327e-05
NEL,KOBIETA,436,3.746049786204519e-05
BLANDYNA,KOBIETA,432,3.7116823569732846e-05
GRACJA,KOBIETA,431,3.703090499665476e-05
MARIIA,KOBIETA,426,3.6601312131264334e-05
HELGA,KOBIETA,418,3.591396354663965e-05
ALICE,KOBIETA,412,3.539845210817114e-05
CAROLINA,KOBIETA,408,3.50547778158588e-05
KORNELA,KOBIETA,407,3.4968859242780715e-05
WANESA,KOBIETA,404,3.471110352354646e-05
RUTH,KOBIETA,403,3.4625184950468374e-05
RAMONA,KOBIETA,403,3.4625184950468374e-05
CHARLOTTE,KOBIETA,396,3.402375493892178e-05
NATALIE,KOBIETA,387,3.325048778121901e-05
JAGNA,KOBIETA,385,3.307865063506284e-05
ERIKA,KOBIETA,384,3.2992732061984754e-05
CAROLINE,KOBIETA,383,3.290681348890667e-05
AGNES,KOBIETA,383,3.290681348890667e-05
CATHERINE,KOBIETA,380,3.264905776967241e-05
IRMA,KOBIETA,380,3.264905776967241e-05
VERONIKA,KOBIETA,380,3.264905776967241e-05
LEONIA,KOBIETA,375,3.221946490428199e-05
NARCYZA,KOBIETA,375,3.221946490428199e-05
HANKA,KOBIETA,370,3.178987203889156e-05
ŻAKLINA,KOBIETA,364,3.127436060042305e-05
BOGDANA,KOBIETA,358,3.075884916195453e-05
DOBRAWA,KOBIETA,358,3.075884916195453e-05
SABRINA,KOBIETA,348,2.9899663431173682e-05
FATIMA,KOBIETA,347,2.9813744858095597e-05
LIZA,KOBIETA,345,2.9641907711939426e-05
KATHARINA,KOBIETA,344,2.955598913886134e-05
LARA,KOBIETA,344,2.955598913886134e-05
ARLETTA,KOBIETA,340,2.9212314846549e-05
JOHANNA,KOBIETA,339,2.9126396273470915e-05
IRENE,KOBIETA,338,2.904047770039283e-05
LUCIA,KOBIETA,337,2.8954559127314744e-05
DELFINA,KOBIETA,337,2.8954559127314744e-05
ALICIA,KOBIETA,333,2.8610884835002403e-05
SYBILLA,KOBIETA,331,2.8439047688846233e-05
OKSANA,KOBIETA,331,2.8439047688846233e-05
ABIGAIL,KOBIETA,327,2.809537339653389e-05
HELEN,KOBIETA,327,2.809537339653389e-05
DAJANA,KOBIETA,324,2.7837617677299633e-05
ZOJA,KOBIETA,324,2.7837617677299633e-05
ROSA,KOBIETA,323,2.7751699104221547e-05
EUFEMIA,KOBIETA,316,2.715026909267495e-05
JENNIFER,KOBIETA,315,2.7064350519596865e-05
INGRID,KOBIETA,312,2.680659480036261e-05
MONICA,KOBIETA,312,2.680659480036261e-05
ANASTASIA,KOBIETA,310,2.663475765420644e-05
ALA,KOBIETA,310,2.663475765420644e-05
MARGARETA,KOBIETA,310,2.663475765420644e-05
IWONNA,KOBIETA,308,2.646292050805027e-05
DALIA,KOBIETA,304,2.6119246215737928e-05
PRAKSEDA,KOBIETA,303,2.6033327642659842e-05
ALEJANDRA,KOBIETA,303,2.6033327642659842e-05
NUR,KOBIETA,301,2.5861490496503672e-05
EMA,KOBIETA,295,2.534597905803516e-05
WINCENTYNA,KOBIETA,291,2.500230476572282e-05
KAUR,KOBIETA,290,2.4916386192644734e-05
RADOSŁAWA,KOBIETA,286,2.4572711900332393e-05
ERNESTYNA,KOBIETA,285,2.4486793327254308e-05
DŻESIKA,KOBIETA,283,2.4314956181098138e-05
ELA,KOBIETA,283,2.4314956181098138e-05
LILY,KOBIETA,283,2.4314956181098138e-05
JOY,KOBIETA,281,2.4143119034941967e-05
FRYDERYKA,KOBIETA,280,2.4057200461863882e-05
KRISTINA,KOBIETA,278,2.388536331570771e-05
ROBERTA,KOBIETA,277,2.3799444742629626e-05
SCHOLASTYKA,KOBIETA,277,2.3799444742629626e-05
ISABELLE,KOBIETA,276,2.371352616955154e-05
JOSEPHINE,KOBIETA,275,2.3627607596473456e-05
NAOMI,KOBIETA,274,2.354168902339537e-05
WILHELMINA,KOBIETA,273,2.3455770450317285e-05
NIKOL,KOBIETA,273,2.3455770450317285e-05
MARTINA,KOBIETA,272,2.33698518772392e-05
EDELTRAUDA,KOBIETA,272,2.33698518772392e-05
KASANDRA,KOBIETA,268,2.302617758492686e-05
NICOL,KOBIETA,267,2.2940259011848774e-05
LUBOMIRA,KOBIETA,265,2.2768421865692603e-05
BEATRIZ,KOBIETA,264,2.2682503292614518e-05
LUNA,KOBIETA,264,2.2682503292614518e-05
PAOLA,KOBIETA,264,2.2682503292614518e-05
KAROLA,KOBIETA,262,2.2510666146458347e-05
MICHAELA,KOBIETA,262,2.2510666146458347e-05
DOBROCHNA,KOBIETA,262,2.2510666146458347e-05
ZOE,KOBIETA,262,2.2510666146458347e-05
LUKRECJA,KOBIETA,262,2.2510666146458347e-05
EMILA,KOBIETA,259,2.2252910427224092e-05
WALESKA,KOBIETA,257,2.208107328106792e-05
IRMGARDA,KOBIETA,256,2.1995154707989836e-05
KATHERINE,KOBIETA,256,2.1995154707989836e-05
ELLA,KOBIETA,255,2.190923613491175e-05
IDALIA,KOBIETA,253,2.173739898875558e-05
AUGUSTA,KOBIETA,252,2.165148041567749e-05
MARTHA,KOBIETA,251,2.1565561842599406e-05
RACHEL,KOBIETA,248,2.130780612336515e-05
SIMONA,KOBIETA,248,2.130780612336515e-05
LYNN,KOBIETA,245,2.1050050404130895e-05
FRANCESCA,KOBIETA,245,2.1050050404130895e-05
KARIN,KOBIETA,245,2.1050050404130895e-05
LESŁAWA,KOBIETA,244,2.096413183105281e-05
ADAMINA,KOBIETA,238,2.0448620392584298e-05
DOLORES,KOBIETA,236,2.0276783246428128e-05
LUISA,KOBIETA,236,2.0276783246428128e-05
MARITA,KOBIETA,236,2.0276783246428128e-05
STEPHANIE,KOBIETA,234,2.0104946100271957e-05
DOBROMIŁA,KOBIETA,234,2.0104946100271957e-05
BENITA,KOBIETA,233,2.0019027527193872e-05
BENIGNA,KOBIETA,231,1.98471903810377e-05
LISA,KOBIETA,229,1.967535323488153e-05
MARGOT,KOBIETA,227,1.950351608872536e-05
CLAIRE,KOBIETA,226,1.9417597515647275e-05
MAJKA,KOBIETA,226,1.9417597515647275e-05
VALENTINA,KOBIETA,225,1.933167894256919e-05
SZARLOTA,KOBIETA,224,1.9245760369491105e-05
MODESTA,KOBIETA,223,1.915984179641302e-05
SERAFINA,KOBIETA,222,1.9073923223334934e-05
EUNIKA,KOBIETA,221,1.898800465025685e-05
GABRIELLA,KOBIETA,221,1.898800465025685e-05
MARINA,KOBIETA,220,1.8902086077178764e-05
ANA,KOBIETA,217,1.8644330357944508e-05
KSAWERA,KOBIETA,217,1.8644330357944508e-05
IZYDORA,KOBIETA,217,1.8644330357944508e-05
REBEKA,KOBIETA,215,1.8472493211788338e-05
HANNAH,KOBIETA,215,1.8472493211788338e-05
LEE,KOBIETA,215,1.8472493211788338e-05
MARGARITA,KOBIETA,214,1.8386574638710252e-05
HALSZKA,KOBIETA,213,1.8300656065632167e-05
MIŁOSŁAWA,KOBIETA,213,1.8300656065632167e-05
MAY,KOBIETA,213,1.8300656065632167e-05
MIRANDA,KOBIETA,210,1.804290034639791e-05
LIVIA,KOBIETA,210,1.804290034639791e-05
ANIKA,KOBIETA,209,1.7956981773319826e-05
ESTHER,KOBIETA,208,1.787106320024174e-05
JOLENTA,KOBIETA,202,1.735555176177323e-05
ELZA,KOBIETA,202,1.735555176177323e-05
CLARA,KOBIETA,201,1.7269633188695144e-05
SYLVIA,KOBIETA,200,1.718371461561706e-05
ZBIGNIEWA,KOBIETA,199,1.7097796042538974e-05
ELZBIETA,KOBIETA,198,1.701187746946089e-05
LUDWINA,KOBIETA,197,1.6925958896382803e-05
RUT,KOBIETA,197,1.6925958896382803e-05
JULITTA,KOBIETA,195,1.6754121750226633e-05
HERMINA,KOBIETA,195,1.6754121750226633e-05
DEBORA,KOBIETA,195,1.6754121750226633e-05
MAE,KOBIETA,194,1.6668203177148547e-05
IZOLDA,KOBIETA,193,1.6582284604070462e-05
LEONORA,KOBIETA,191,1.6410447457914292e-05
INKA,KOBIETA,191,1.6410447457914292e-05
VIOLETA,KOBIETA,190,1.6324528884836206e-05
THERESA,KOBIETA,190,1.6324528884836206e-05
CYRYLA,KOBIETA,190,1.6324528884836206e-05
JASMIN,KOBIETA,189,1.623861031175812e-05
MELISA,KOBIETA,188,1.6152691738680036e-05
LUDOMIRA,KOBIETA,188,1.6152691738680036e-05
LEONA,KOBIETA,188,1.6152691738680036e-05
CECILIA,KOBIETA,187,1.606677316560195e-05
DAGNA,KOBIETA,186,1.5980854592523866e-05
KATE,KOBIETA,186,1.5980854592523866e-05
ELISA,KOBIETA,185,1.589493601944578e-05
ARIADNA,KOBIETA,185,1.589493601944578e-05
URSULA,KOBIETA,185,1.589493601944578e-05
FILIPINA,KOBIETA,185,1.589493601944578e-05
KSYMENA,KOBIETA,184,1.5809017446367695e-05
ŻANETTA,KOBIETA,184,1.5809017446367695e-05
MILA,KOBIETA,183,1.572309887328961e-05
ALBERTYNA,KOBIETA,183,1.572309887328961e-05
DENISE,KOBIETA,182,1.5637180300211525e-05
PIA,KOBIETA,180,1.546534315405535e-05
RACHELA,KOBIETA,180,1.546534315405535e-05
ARIANA,KOBIETA,177,1.5207587434821097e-05
JANA,KOBIETA,176,1.5121668861743011e-05
BIBIANNA,KOBIETA,176,1.5121668861743011e-05
JACQUELINE,KOBIETA,176,1.5121668861743011e-05
JEAN,KOBIETA,175,1.5035750288664926e-05
ANGELICA,KOBIETA,174,1.4949831715586841e-05
BOGDA,KOBIETA,174,1.4949831715586841e-05
MALGORZATA,KOBIETA,173,1.4863913142508756e-05
FRANCES,KOBIETA,171,1.4692075996352585e-05
JASMINA,KOBIETA,171,1.4692075996352585e-05
RAFAELA,KOBIETA,168,1.443432027711833e-05
RYTA,KOBIETA,168,1.443432027711833e-05
KONSTANTYNA,KOBIETA,168,1.443432027711833e-05
JUDITH,KOBIETA,167,1.4348401704040244e-05
LETYCJA,KOBIETA,165,1.4176564557884074e-05
SOFIE,KOBIETA,164,1.4090645984805988e-05
LILLY,KOBIETA,164,1.4090645984805988e-05
KAREN,KOBIETA,163,1.4004727411727903e-05
JULIANA,KOBIETA,162,1.3918808838649816e-05
INGEBORGA,KOBIETA,162,1.3918808838649816e-05
EDITH,KOBIETA,160,1.3746971692493646e-05
FERNANDA,KOBIETA,159,1.366105311941556e-05
ANH,KOBIETA,159,1.366105311941556e-05
DORIS,KOBIETA,159,1.366105311941556e-05
