IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ,PRAWDOPODOBIEŃSTWO_WYSTĄPIENIA
PAULA,KOBIETA,15570,0.000693076270439518
AURELIA,KOBIETA,15330,0.0006823930138624157
ALLA,KOBIETA,14830,0.0006601362293267857
IZABELLA,KOBIETA,14453,0.0006433546137869207
KALINA,KOBIETA,14408,0.0006413515031787139
BRYGIDA,KOBIETA,14373,0.0006397935282612199
LILIIA,KOBIETA,13520,0.0006018234538434351
MARIKA,KOBIETA,13487,0.0006003545060640835
OLIVIA,KOBIETA,13107,0.0005834393498170047
SONIA,KOBIETA,12970,0.000577340990854242
TAMARA,KOBIETA,12931,0.0005756049616604629
MIECZYSŁAWA,KOBIETA,12712,0.000565856490033857
GERTRUDA,KOBIETA,12551,0.0005586898054133841
ALONA,KOBIETA,12542,0.0005582891832917428
ELWIRA,KOBIETA,12534,0.0005579330747391728
POLINA,KOBIETA,12375,0.0005508554172568424
BOŻENNA,KOBIETA,12350,0.0005497425780300609
MARZANNA,KOBIETA,12330,0.0005488523066486357
YELYZAVETA,KOBIETA,12105,0.0005388367536076022
ANDŻELIKA,KOBIETA,11817,0.0005260168457150794
ARLETA,KOBIETA,11257,0.0005010892470351737
TATIANA,KOBIETA,11253,0.0005009111927588886
MIA,KOBIETA,11246,0.0005005995977753899
KHRYSTYNA,KOBIETA,11226,0.0004997093263939647
LUIZA,KOBIETA,11128,0.0004953469966249812
VICTORIA,KOBIETA,10628,0.0004730902120893512
IVANNA,KOBIETA,10331,0.000459869682075187
MARIANA,KOBIETA,10066,0.0004480735862713031
JUDYTA,KOBIETA,9817,0.00043698970757255934
NICOLE,KOBIETA,9727,0.00043298348635614596
LIWIA,KOBIETA,9630,0.00042866567015623373
ADELA,KOBIETA,9597,0.00042719672237688213
VIRA,KOBIETA,9315,0.0004146438958987868
NICOLA,KOBIETA,9115,0.00040574118208453483
YEVHENIIA,KOBIETA,9115,0.00040574118208453483
NATASZA,KOBIETA,9021,0.0004015569065918364
FRANCISZKA,KOBIETA,8946,0.00039821838891149187
JOWITA,KOBIETA,8780,0.00039082913644566275
ANHELINA,KOBIETA,8617,0.00038357342468704736
VANESSA,KOBIETA,8592,0.0003824605854602659
MELANIA,KOBIETA,8303,0.0003695961639986717
DARYNA,KOBIETA,8236,0.0003666137548708973
APOLONIA,KOBIETA,8168,0.0003635868321740516
ELENA,KOBIETA,8142,0.00036242947937819886
ALFREDA,KOBIETA,7996,0.0003559304982937949
INGA,KOBIETA,7986,0.0003554853626030823
JESSICA,KOBIETA,7799,0.00034716132518675666
ROMANA,KOBIETA,7784,0.00034649362165068776
MARHARYTA,KOBIETA,7737,0.00034440148390433857
ADA,KOBIETA,7712,0.0003432886446775571
LESIA,KOBIETA,7660,0.00034097393908585156
MILANA,KOBIETA,7563,0.00033665612288593934
BIANKA,KOBIETA,7532,0.00033527620224473026
ESTERA,KOBIETA,7348,0.00032708570553561844
MARZENNA,KOBIETA,7289,0.0003244594049604141
SOFIA,KOBIETA,7258,0.000323079484319205
ELEONORA,KOBIETA,7209,0.0003208983194347133
JULIANNA,KOBIETA,7178,0.0003195183987935042
KARYNA,KOBIETA,6939,0.0003088796557854731
ZLATA,KOBIETA,6768,0.00030126783547428765
ALISA,KOBIETA,6754,0.00030064464550729
LUDWIKA,KOBIETA,6735,0.00029979888769493605
KIRA,KOBIETA,6731,0.000299620833418651
ULIANA,KOBIETA,6722,0.00029922021129700967
YEVA,KOBIETA,6716,0.0002989531298825821
BERNADETTA,KOBIETA,6606,0.0002940566372847435
LIDIIA,KOBIETA,6573,0.00029258768950539193
MAYA,KOBIETA,6495,0.00028911563111783367
OLESIA,KOBIETA,6384,0.0002841746249509238
ZENONA,KOBIETA,6368,0.0002834624078457836
LILIA,KOBIETA,6190,0.00027553899255109934
RITA,KOBIETA,6148,0.0002736694226501064
EMMA,KOBIETA,6119,0.0002723785291470399
IDA,KOBIETA,6061,0.0002697967421409068
ANETTA,KOBIETA,6032,0.0002685058486378403
WACŁAWA,KOBIETA,6028,0.0002683277943615552
DONATA,KOBIETA,6007,0.0002673930094110588
MYROSLAVA,KOBIETA,5981,0.00026623565661520603
LUDMIŁA,KOBIETA,5941,0.00026445511385235563
FELICJA,KOBIETA,5903,0.0002627635982276477
KSENIIA,KOBIETA,5883,0.00026187332684622254
WALENTYNA,KOBIETA,5852,0.00026049340620501346
KRISTINA,KOBIETA,5716,0.0002544395608113221
AMANDA,KOBIETA,5665,0.00025216936878868785
ARINA,KOBIETA,5629,0.0002505668803021225
RUSLANA,KOBIETA,5629,0.0002505668803021225
ZENOBIA,KOBIETA,5431,0.00024175319362601302
HILDEGARDA,KOBIETA,5393,0.00024006167800130513
ROMUALDA,KOBIETA,5356,0.00023841467594566852
ALENA,KOBIETA,5348,0.00023805856739309844
OTYLIA,KOBIETA,5312,0.00023645607890653307
DARIIA,KOBIETA,5306,0.0002361889974921055
VITA,KOBIETA,5296,0.00023574386180139293
GIZELA,KOBIETA,5126,0.00022817655505927872
ALBINA,KOBIETA,5107,0.0002273307972469248
ANASTASIYA,KOBIETA,5105,0.00022724177010878226
GAJA,KOBIETA,5047,0.0002246599831026492
IRMINA,KOBIETA,5042,0.00022443741525729287
YULIYA,KOBIETA,4960,0.00022078730259344955
SOLOMIIA,KOBIETA,4931,0.00021949640909038303
VIKTORIA,KOBIETA,4862,0.00021642497282446608
LILLA,KOBIETA,4719,0.0002100595324472759
SŁAWOMIRA,KOBIETA,4652,0.00020707712331950148
TATSIANA,KOBIETA,4621,0.00020569720267829244
BERNARDA,KOBIETA,4550,0.00020253673927423296
ANGELINA,KOBIETA,4503,0.00020044460152788374
VLADYSLAVA,KOBIETA,4462,0.00019861954519596208
ERYKA,KOBIETA,4455,0.00019830795021246326
VOLHA,KOBIETA,4452,0.0001981744095052495
KATSIARYNA,KOBIETA,4440,0.00019764024667639436
ZHANNA,KOBIETA,4241,0.00018878204643121363
PELAGIA,KOBIETA,4231,0.00018833691074050102
LONGINA,KOBIETA,4173,0.00018575512373436795
ALEXANDRA,KOBIETA,4158,0.00018508742019829905
RAISA,KOBIETA,4156,0.00018499839306015652
ZOJA,KOBIETA,4133,0.00018397458097151755
VARVARA,KOBIETA,4097,0.0001823720924849522
NATALLIA,KOBIETA,4074,0.0001813482803963132
KAMILLA,KOBIETA,4066,0.00018099217184374314
RYSZARDA,KOBIETA,4026,0.00017921162908089274
IRINA,KOBIETA,4024,0.0001791226019427502
WALERIA,KOBIETA,3961,0.00017631824709126082
ANZHELA,KOBIETA,3941,0.00017542797570983563
LILA,KOBIETA,3906,0.00017387000079234152
TEODOZJA,KOBIETA,3879,0.0001726681344274175
BOHDANA,KOBIETA,3877,0.000172579107289275
MIRELA,KOBIETA,3838,0.00017084307809549584
TEODORA,KOBIETA,3790,0.00016870642678007536
FAUSTYNA,KOBIETA,3691,0.00016429958344202063
MARINA,KOBIETA,3625,0.00016136168788331748
ADELAJDA,KOBIETA,3580,0.00015935857727511079
EVA,KOBIETA,3558,0.00015837927875554306
NATALIYA,KOBIETA,3554,0.000158201224479258
DARYA,KOBIETA,3533,0.00015726643952876154
ANASTASIA,KOBIETA,3519,0.00015664324956176392
MARIYA,KOBIETA,3511,0.00015628714100919384
SAMANTA,KOBIETA,3475,0.00015468465252262847
NEL,KOBIETA,3397,0.0001512125941350702
OLIMPIA,KOBIETA,3395,0.00015112356699692768
JAGNA,KOBIETA,3393,0.00015103453985878515
SNIZHANA,KOBIETA,3309,0.00014729540005679932
YAROSLAVA,KOBIETA,3293,0.00014658318295165916
KSENIA,KOBIETA,3261,0.00014515874874137884
MARCELA,KOBIETA,3229,0.0001437343145310985
MARYLA,KOBIETA,3170,0.00014110801395589417
GALYNA,KOBIETA,3144,0.00013995066116004142
MARYIA,KOBIETA,3104,0.00013817011839719102
EMILIIA,KOBIETA,3044,0.00013549930425291542
ZORIANA,KOBIETA,3025,0.0001346535464405615
OKTAWIA,KOBIETA,2999,0.0001334961936447087
KONSTANCJA,KOBIETA,2983,0.00013278397653956856
LUCJA,KOBIETA,2944,0.00013104794734578943
ZYTA,KOBIETA,2897,0.0001289558095994402
NOEMI,KOBIETA,2858,0.00012721978040566105
PAMELA,KOBIETA,2826,0.00012579534619538074
NIKOL,KOBIETA,2818,0.00012543923764281065
EVELINA,KOBIETA,2780,0.00012374772201810278
CLAUDIA,KOBIETA,2778,0.00012365869487996025
EMILY,KOBIETA,2777,0.000123614181310889
SOPHIE,KOBIETA,2747,0.0001222787742387512
JAŚMINA,KOBIETA,2742,0.0001220562063933949
WANESSA,KOBIETA,2723,0.00012121044858104096
ANZHELIKA,KOBIETA,2662,0.0001184951208676941
LEA,KOBIETA,2662,0.0001184951208676941
LEONARDA,KOBIETA,2632,0.00011715971379555629
TETYANA,KOBIETA,2591,0.00011533465746363465
VIKTORYIA,KOBIETA,2558,0.00011386570968428306
IULIIA,KOBIETA,2544,0.00011324251971728541
BOGNA,KOBIETA,2521,0.00011221870762864644
ZOIA,KOBIETA,2510,0.00011172905836886259
FELIKSA,KOBIETA,2510,0.00011172905836886259
STELLA,KOBIETA,2500,0.00011128392267814999
MIRELLA,KOBIETA,2492,0.0001109278141255799
ZINAIDA,KOBIETA,2439,0.00010856859496480313
INEZ,KOBIETA,2438,0.00010852408139573186
MICHELLE,KOBIETA,2430,0.00010816797284316178
NELIA,KOBIETA,2426,0.00010798991856687674
TOLA,KOBIETA,2400,0.00010683256577102398
GANNA,KOBIETA,2369,0.00010545264512981492
MILA,KOBIETA,2346,0.00010442883304117594
SVIATLANA,KOBIETA,2319,0.00010322696667625192
SARAH,KOBIETA,2271,0.00010109031536083144
LIUDMILA,KOBIETA,2269,0.00010100128822268892
SVETLANA,KOBIETA,2262,0.0001006896932391901
ANA,KOBIETA,2261,0.00010064517967011884
KRZYSZTOFA,KOBIETA,2253,0.00010028907111754877
LARA,KOBIETA,2247,0.0001000219897031212
OLA,KOBIETA,2225,9.904269118355348e-05
VALENTINA,KOBIETA,2217,9.86865826309834e-05
ANGELA,KOBIETA,2163,9.628284990113536e-05
ALIAKSANDRA,KOBIETA,2158,9.606028205577907e-05
TAISIIA,KOBIETA,2155,9.592674134856529e-05
MIRIAM,KOBIETA,2078,9.249919653007826e-05
NADZIEJA,KOBIETA,2051,9.129733016515424e-05
GALINA,KOBIETA,2029,9.031803164558653e-05
INES,KOBIETA,2021,8.996192309301644e-05
EDWARDA,KOBIETA,2020,8.991740952394518e-05
ADELINA,KOBIETA,1999,8.898262457344873e-05
BOLESŁAWA,KOBIETA,1999,8.898262457344873e-05
NATALIE,KOBIETA,1979,8.809235319202353e-05
VASYLYNA,KOBIETA,1972,8.778075820852471e-05
ELFRYDA,KOBIETA,1968,8.760270393223967e-05
VITALINA,KOBIETA,1953,8.693500039617076e-05
SOPHIA,KOBIETA,1933,8.604472901474556e-05
LINA,KOBIETA,1922,8.55550797549617e-05
ANTONIA,KOBIETA,1912,8.51099440642491e-05
MAIIA,KOBIETA,1887,8.399710483746761e-05
SALOMEA,KOBIETA,1848,8.226107564368846e-05
ROMA,KOBIETA,1818,8.092566857155066e-05
ELINA,KOBIETA,1808,8.048053288083806e-05
MARIETTA,KOBIETA,1801,8.016893789733924e-05
AMINA,KOBIETA,1794,7.985734291384042e-05
IZA,KOBIETA,1788,7.959026149941286e-05
EDELTRAUDA,KOBIETA,1781,7.927866651591404e-05
ERIKA,KOBIETA,1755,7.812131372006129e-05
MANUELA,KOBIETA,1727,7.6874933786066e-05
VERONICA,KOBIETA,1726,7.683042021699474e-05
KSENIYA,KOBIETA,1724,7.674139307885223e-05
ARLETTA,KOBIETA,1714,7.629625738813963e-05
KLEMENTYNA,KOBIETA,1712,7.620723024999711e-05
LIVIA,KOBIETA,1684,7.496085031600183e-05
YANINA,KOBIETA,1682,7.48718231778593e-05
SOFIYA,KOBIETA,1661,7.393703822736285e-05
KLAUDYNA,KOBIETA,1644,7.318030755315143e-05
NIKA,KOBIETA,1618,7.202295475729866e-05
MARGARITA,KOBIETA,1591,7.082108839237464e-05
JANA,KOBIETA,1582,7.042046627073331e-05
GRETA,KOBIETA,1569,6.984178987280693e-05
ANDREA,KOBIETA,1566,6.970824916559315e-05
NADIYA,KOBIETA,1563,6.957470845837937e-05
GLORIA,KOBIETA,1555,6.921859990580929e-05
FLORENTYNA,KOBIETA,1535,6.832832852438409e-05
ALA,KOBIETA,1529,6.806124710995653e-05
MARTINA,KOBIETA,1524,6.783867926460023e-05
RUTA,KOBIETA,1509,6.717097572853133e-05
LYUDMYLA,KOBIETA,1505,6.699292145224629e-05
ROKSOLANA,KOBIETA,1500,6.677035360688998e-05
EKATERINA,KOBIETA,1495,6.654778576153369e-05
ISABELLA,KOBIETA,1477,6.574654151825101e-05
INA,KOBIETA,1476,6.570202794917974e-05
HELGA,KOBIETA,1471,6.547946010382345e-05
VERANIKA,KOBIETA,1465,6.52123786893959e-05
PALINA,KOBIETA,1461,6.503432441311085e-05
WIERA,KOBIETA,1458,6.490078370589707e-05
YARYNA,KOBIETA,1451,6.458918872239825e-05
MIRA,KOBIETA,1442,6.41885666007569e-05
VALERYIA,KOBIETA,1429,6.360989020283052e-05
YELIZAVETA,KOBIETA,1420,6.320926808118919e-05
MALINA,KOBIETA,1387,6.174032030183761e-05
GERDA,KOBIETA,1375,6.120615747298249e-05
DOBROSŁAWA,KOBIETA,1374,6.116164390391124e-05
LYUBOV,KOBIETA,1374,6.116164390391124e-05
HANNAH,KOBIETA,1364,6.071650821319863e-05
VALERIA,KOBIETA,1359,6.049394036784233e-05
LINDA,KOBIETA,1358,6.044942679877107e-05
JENNIFER,KOBIETA,1357,6.040491322969981e-05
ELLA,KOBIETA,1354,6.027137252248603e-05
ARIANA,KOBIETA,1351,6.013783181527225e-05
ELVIRA,KOBIETA,1347,5.995977753898721e-05
SABRINA,KOBIETA,1328,5.911401972663327e-05
PATRICIA,KOBIETA,1321,5.8802424743134446e-05
VIOLETA,KOBIETA,1314,5.849082975963563e-05
DINA,KOBIETA,1300,5.786763979263799e-05
NICOL,KOBIETA,1291,5.746701767099665e-05
ALESIA,KOBIETA,1289,5.737799053285413e-05
VERA,KOBIETA,1287,5.728896339471161e-05
ELIZABETH,KOBIETA,1286,5.724444982564035e-05
VIKTORIYA,KOBIETA,1281,5.702188198028405e-05
LIZAVETA,KOBIETA,1279,5.693285484214153e-05
ANDRIANA,KOBIETA,1270,5.653223272050019e-05
EULALIA,KOBIETA,1264,5.626515130607263e-05
LILY,KOBIETA,1257,5.595355632257381e-05
BERNARDYNA,KOBIETA,1252,5.573098847721751e-05
IRMGARDA,KOBIETA,1250,5.5641961339074994e-05
JAROSŁAWA,KOBIETA,1236,5.501877137207735e-05
MARCJANNA,KOBIETA,1229,5.470717638857853e-05
DANA,KOBIETA,1228,5.4662662819507274e-05
ALICE,KOBIETA,1227,5.461814925043601e-05
GABRIELLA,KOBIETA,1217,5.417301355972341e-05
LIANA,KOBIETA,1213,5.399495928343837e-05
WANESA,KOBIETA,1207,5.372787786901081e-05
TAMILA,KOBIETA,1201,5.346079645458325e-05
CARMEN,KOBIETA,1200,5.341628288551199e-05
MAJKA,KOBIETA,1188,5.288212005665687e-05
KATERINA,KOBIETA,1186,5.279309291851435e-05
BOGDANA,KOBIETA,1182,5.261503864222931e-05
SIMONA,KOBIETA,1180,5.252601150408679e-05
HANKA,KOBIETA,1168,5.199184867523167e-05
DŻESIKA,KOBIETA,1163,5.176928082987537e-05
MARITA,KOBIETA,1159,5.159122655359033e-05
YULIANA,KOBIETA,1156,5.145768584637655e-05
ANIKA,KOBIETA,1145,5.0968036586592694e-05
VLADA,KOBIETA,1145,5.0968036586592694e-05
NAOMI,KOBIETA,1144,5.092352301752143e-05
LARISA,KOBIETA,1125,5.007776520516749e-05
AKSANA,KOBIETA,1122,4.994422449795371e-05
ALICIA,KOBIETA,1112,4.949908880724111e-05
CAROLINE,KOBIETA,1111,4.945457523816985e-05
WIRGINIA,KOBIETA,1111,4.945457523816985e-05
ERNA,KOBIETA,1109,4.936554810002733e-05
LUDMILA,KOBIETA,1108,4.9321034530956075e-05
DALIA,KOBIETA,1104,4.914298025467103e-05
TEOFILA,KOBIETA,1097,4.883138527117221e-05
KRYSTSINA,KOBIETA,1096,4.8786871702100954e-05
DAJANA,KOBIETA,1082,4.816368173510331e-05
LUBA,KOBIETA,1069,4.7585005337176934e-05
VITALIIA,KOBIETA,1064,4.7362437491820635e-05
NASTASSIA,KOBIETA,1059,4.713986964646433e-05
LILLY,KOBIETA,1052,4.6828274662965514e-05
EMANUELA,KOBIETA,1051,4.678376109389425e-05
NADZEYA,KOBIETA,1047,4.6605706817609215e-05
BIANCA,KOBIETA,1046,4.656119324853795e-05
NELLY,KOBIETA,1038,4.620508469596787e-05
NIKOLETTA,KOBIETA,1038,4.620508469596787e-05
ULYANA,KOBIETA,1036,4.611605755782535e-05
YULIA,KOBIETA,1022,4.549286759082771e-05
BALBINA,KOBIETA,1012,4.504773190011511e-05
MAIA,KOBIETA,1010,4.495870476197259e-05
LILIYA,KOBIETA,1006,4.478065048568755e-05
ELIZAVETA,KOBIETA,1006,4.478065048568755e-05
INKA,KOBIETA,1004,4.469162334754503e-05
CRISTINA,KOBIETA,994,4.424648765683243e-05
BERENIKA,KOBIETA,991,4.4112946949618654e-05
KAYA,KOBIETA,988,4.3979406242404876e-05
STEFANIIA,KOBIETA,969,4.3133648430050934e-05
RAMONA,KOBIETA,962,4.282205344655211e-05
IRMA,KOBIETA,954,4.2465944893982035e-05
MELANIIA,KOBIETA,951,4.233240418676825e-05
MARIAM,KOBIETA,950,4.228789061769699e-05
MELISA,KOBIETA,942,4.1931782065126915e-05
DARINA,KOBIETA,928,4.130859209812927e-05
ABIGAIL,KOBIETA,927,4.1264078529058016e-05
IDALIA,KOBIETA,924,4.113053782184423e-05
CAROLINA,KOBIETA,917,4.0818942838345416e-05
JÓZEFINA,KOBIETA,913,4.0640888562060374e-05
ALIONA,KOBIETA,912,4.059637499298911e-05
HANA,KOBIETA,905,4.0284780009490296e-05
ZOE,KOBIETA,903,4.0195752871347774e-05
KORNELA,KOBIETA,903,4.0195752871347774e-05
AURORA,KOBIETA,898,3.9973185025991475e-05
ŻAKLINA,KOBIETA,897,3.992867145692021e-05
MICHAELA,KOBIETA,896,3.9884157887848953e-05
SWIETŁANA,KOBIETA,880,3.917194078270879e-05
MARIE,KOBIETA,873,3.8860345799209976e-05
FILOMENA,KOBIETA,872,3.881583223013871e-05
MELISSA,KOBIETA,871,3.8771318661067455e-05
SEWERYNA,KOBIETA,869,3.8682291522924934e-05
KUNEGUNDA,KOBIETA,868,3.863777795385367e-05
AMALIA,KOBIETA,865,3.850423724663989e-05
IWONNA,KOBIETA,863,3.841521010849737e-05
INGRID,KOBIETA,862,3.837069653942611e-05
LEILA,KOBIETA,859,3.8237155832212335e-05
EMILA,KOBIETA,854,3.8014587986856035e-05
BLANDYNA,KOBIETA,848,3.774750657242847e-05
DZIYANA,KOBIETA,846,3.765847943428596e-05
BENEDYKTA,KOBIETA,824,3.667918091471824e-05
LIGIA,KOBIETA,819,3.645661306936193e-05
MONICA,KOBIETA,819,3.645661306936193e-05
SYBILLA,KOBIETA,814,3.623404522400563e-05
LUBOMIRA,KOBIETA,812,3.6145018085863116e-05
